Iout (VC=-0.3) X,Iout (VC=-0.3) Y,Iout (VC=-0.15) X,Iout (VC=-0.15) Y,Iout (VC=0) X,Iout (VC=0) Y,Iout (VC=0.15) X,Iout (VC=0.15) Y,Iout (VC=0.3) X,Iout (VC=0.3) Y
-0.3,5.447267842387001e-10,-0.3,5.433449017895441e-10,-0.3,5.435903285411724e-10,-0.3,5.469402265254736e-10,-0.3,5.607549039034804e-10
-0.2994,5.447933168690684e-10,-0.2994,5.433921262433677e-10,-0.2994,5.436443364783665e-10,-0.2994,5.470638873887198e-10,-0.2994,5.611066557040473e-10
-0.2988,5.448612754355447e-10,-0.2988,5.434383890964477e-10,-0.2988,5.436995092239685e-10,-0.2988,5.471836405582701e-10,-0.2988,5.614646787209267e-10
-0.2982,5.449307158538729e-10,-0.2982,5.43485717497128e-10,-0.2982,5.437558997931642e-10,-0.2982,5.473057530887834e-10,-0.2982,5.618291088462663e-10
-0.2976,5.450016659760336e-10,-0.2976,5.435341312262674e-10,-0.2976,5.438135310383044e-10,-0.2976,5.474302677207564e-10,-0.2976,5.62200059024648e-10
-0.297,5.450741543173946e-10,-0.297,5.435836507417488e-10,-0.297,5.438724256684954e-10,-0.297,5.475572282020004e-10,-0.297,5.625776444895893e-10
-0.2964000000000001,5.45148210036324e-10,-0.2964000000000001,5.436342966204765e-10,-0.2964000000000001,5.439326070354828e-10,-0.2964000000000001,5.476866790136465e-10,-0.2964000000000001,5.629619820334051e-10
-0.2958000000000001,5.452238623998543e-10,-0.2958000000000001,5.436860900046938e-10,-0.2958000000000001,5.439940990801947e-10,-0.2958000000000001,5.478186654091367e-10,-0.2958000000000001,5.633531912016776e-10
-0.2952000000000001,5.453011416078759e-10,-0.2952000000000001,5.437390522303513e-10,-0.2952000000000001,5.440569261749046e-10,-0.2952000000000001,5.479532336014367e-10,-0.2952000000000001,5.637513930764944e-10
-0.2946000000000001,5.453800784510575e-10,-0.2946000000000001,5.437932054085647e-10,-0.2946000000000001,5.441211129555129e-10,-0.2946000000000001,5.480904306428102e-10,-0.2946000000000001,5.641567115422321e-10
-0.2940000000000001,5.454607041211625e-10,-0.2940000000000001,5.438485717282717e-10,-0.2940000000000001,5.441866845169271e-10,-0.2940000000000001,5.482303041355281e-10,-0.2940000000000001,5.645692721530002e-10
-0.2934000000000001,5.455430507501544e-10,-0.2934000000000001,5.439051738975001e-10,-0.2934000000000001,5.44253666937737e-10,-0.2934000000000001,5.483729031177985e-10,-0.2934000000000001,5.649892031867006e-10
-0.2928000000000001,5.456271505698056e-10,-0.2928000000000001,5.439630351993203e-10,-0.2928000000000001,5.443220860028442e-10,-0.2928000000000001,5.485182772415687e-10,-0.2928000000000001,5.654166347394008e-10
-0.2922000000000001,5.457130367455781e-10,-0.2922000000000001,5.440221792751013e-10,-0.2922000000000001,5.443919684952538e-10,-0.2922000000000001,5.486664769337542e-10,-0.2922000000000001,5.658516999072225e-10
-0.2916000000000001,5.45800743242787e-10,-0.2916000000000001,5.440826300023104e-10,-0.2916000000000001,5.444633416786663e-10,-0.2916000000000001,5.488175538643299e-10,-0.2916000000000001,5.6629453367919e-10
-0.2910000000000001,5.458903043308762e-10,-0.2910000000000001,5.441444122095944e-10,-0.2910000000000001,5.445362332599631e-10,-0.2910000000000001,5.489715605219289e-10,-0.2910000000000001,5.667452736163817e-10
-0.2904000000000002,5.459817550307734e-10,-0.2904000000000002,5.442075507289018e-10,-0.2904000000000002,5.446106713745829e-10,-0.2904000000000002,5.49128550242834e-10,-0.2904000000000002,5.672040597848751e-10
-0.2898000000000002,5.460751312576639e-10,-0.2898000000000002,5.442720710937754e-10,-0.2898000000000002,5.446866849614334e-10,-0.2898000000000002,5.492885775998043e-10,-0.2898000000000002,5.676710348212932e-10
-0.2892000000000002,5.461704693809547e-10,-0.2892000000000002,5.443379992383477e-10,-0.2892000000000002,5.447643031886608e-10,-0.2892000000000002,5.494516980166497e-10,-0.2892000000000002,5.681463441178453e-10
-0.2886000000000002,5.462678065150736e-10,-0.2886000000000002,5.444053618593787e-10,-0.2886000000000002,5.448435559674469e-10,-0.2886000000000002,5.496179678782685e-10,-0.2886000000000002,5.686301353645364e-10
-0.2880000000000002,5.463671806089857e-10,-0.2880000000000002,5.444741857388664e-10,-0.2880000000000002,5.449244737704846e-10,-0.2880000000000002,5.497874447431535e-10,-0.2880000000000002,5.691225590066412e-10
-0.2874000000000002,5.464686301168394e-10,-0.2874000000000002,5.445444984874614e-10,-0.2874000000000002,5.450070874535783e-10,-0.2874000000000002,5.499601874645927e-10,-0.2874000000000002,5.696237682539305e-10
-0.2868000000000002,5.465721945470395e-10,-0.2868000000000002,5.44616328081724e-10,-0.2868000000000002,5.45091428804768e-10,-0.2868000000000002,5.501362556032963e-10,-0.2868000000000002,5.701339192925288e-10
-0.2862000000000002,5.466779139552744e-10,-0.2862000000000002,5.446897032293344e-10,-0.2862000000000002,5.451775300471242e-10,-0.2862000000000002,5.503157098107156e-10,-0.2862000000000002,5.706531708817945e-10
-0.2856000000000002,5.467858290942725e-10,-0.2856000000000002,5.447646529601496e-10,-0.2856000000000002,5.452654239147685e-10,-0.2856000000000002,5.504986123050389e-10,-0.2856000000000002,5.711816849765187e-10
-0.2850000000000003,5.468959817302595e-10,-0.2850000000000003,5.448412071470477e-10,-0.2850000000000003,5.453551439835499e-10,-0.2850000000000003,5.506850259187318e-10,-0.2850000000000003,5.717196257620517e-10
-0.2844000000000003,5.470084140071033e-10,-0.2844000000000003,5.449193956882223e-10,-0.2844000000000003,5.454467240821474e-10,-0.2844000000000003,5.50875015190553e-10,-0.2844000000000003,5.722671612811808e-10
-0.2838000000000003,5.471231697379951e-10,-0.2838000000000003,5.449992498130015e-10,-0.2838000000000003,5.455401991989718e-10,-0.2838000000000003,5.510686452423272e-10,-0.2838000000000003,5.72824462126141e-10
-0.2832000000000003,5.472402926145703e-10,-0.2832000000000003,5.450808008177345e-10,-0.2832000000000003,5.456356044095419e-10,-0.2832000000000003,5.512659831869308e-10,-0.2832000000000003,5.733917020833474e-10
-0.2826000000000003,5.473598277039699e-10,-0.2826000000000003,5.451640806378202e-10,-0.2826000000000003,5.457329760924995e-10,-0.2826000000000003,5.514670966557556e-10,-0.2826000000000003,5.73969058137546e-10
-0.2820000000000003,5.474818208204874e-10,-0.2820000000000003,5.452491221619551e-10,-0.2820000000000003,5.458323508673308e-10,-0.2820000000000003,5.51672054735076e-10,-0.2820000000000003,5.745567105182406e-10
-0.2814000000000003,5.476063187184701e-10,-0.2814000000000003,5.453359584692472e-10,-0.2814000000000003,5.459337662372278e-10,-0.2814000000000003,5.518809283135708e-10,-0.2814000000000003,5.751548425469301e-10
-0.2808000000000003,5.47733368774186e-10,-0.2808000000000003,5.454246236768041e-10,-0.2808000000000003,5.460372603536969e-10,-0.2808000000000003,5.520937887848843e-10,-0.2808000000000003,5.757636413508825e-10
-0.2802000000000003,5.478630198536737e-10,-0.2802000000000003,5.45515152255126e-10,-0.2802000000000003,5.461428720070464e-10,-0.2802000000000003,5.523107094858277e-10,-0.2802000000000003,5.7638329672212e-10
-0.2796000000000003,5.479953210924895e-10,-0.2796000000000003,5.456075794263516e-10,-0.2796000000000003,5.462506408288571e-10,-0.2796000000000003,5.525317648336857e-10,-0.2796000000000003,5.770140024360041e-10
-0.2790000000000004,5.481303231384038e-10,-0.2790000000000004,5.457019411452683e-10,-0.2790000000000004,5.463606074453029e-10,-0.2790000000000004,5.527570307283075e-10,-0.2790000000000004,5.776559558038333e-10
-0.2784000000000004,5.482680771213692e-10,-0.2784000000000004,5.45798274156054e-10,-0.2784000000000004,5.464728124903257e-10,-0.2784000000000004,5.52986584518148e-10,-0.2784000000000004,5.783093576228581e-10
