Iout (VM=-0.15) X,Iout (VM=-0.15) Y,Iout (VM=-0.075) X,Iout (VM=-0.075) Y,Iout (VM=0) X,Iout (VM=0) Y,Iout (VM=0.075) X,Iout (VM=0.075) Y,Iout (VM=0.15) X,Iout (VM=0.15) Y
-0.3,9.754743243783273e-10,-0.3,5.837957906262224e-10,-0.3,5.447267842387001e-10,-0.3,5.409435733025167e-10,-0.3,5.404149859919336e-10
-0.2994,9.837817438264955e-10,-0.2994,5.846099752761563e-10,-0.2994,5.447933168690684e-10,-0.2994,5.409418837905128e-10,-0.2994,5.404075881414655e-10
-0.2988,9.922451801694355e-10,-0.2988,5.854353656982315e-10,-0.2988,5.448612754355447e-10,-0.2988,5.409402989849363e-10,-0.2988,5.4039970780198e-10
-0.2982,1.000867765006476e-09,-0.2982,5.862767827197381e-10,-0.2982,5.449307158538729e-10,-0.2982,5.409388679038868e-10,-0.2982,5.403918612943115e-10
-0.2976,1.009652277242044e-09,-0.2976,5.871345322101204e-10,-0.2976,5.450016659760336e-10,-0.2976,5.409375928667486e-10,-0.2976,5.403840483057886e-10
-0.297,1.01860153233717e-09,-0.297,5.880089306435803e-10,-0.297,5.450741543173946e-10,-0.297,5.409364766210075e-10,-0.297,5.403762694674587e-10
-0.2964000000000001,1.027718383490447e-09,-0.2964000000000001,5.889002996868986e-10,-0.2964000000000001,5.45148210036324e-10,-0.2964000000000001,5.409355215617412e-10,-0.2964000000000001,5.403685246301491e-10
-0.2958000000000001,1.037005721236805e-09,-0.2958000000000001,5.898089671623716e-10,-0.2958000000000001,5.452238623998543e-10,-0.2958000000000001,5.409347303408062e-10,-0.2958000000000001,5.403608140200679e-10
-0.2952000000000001,1.046466473321563e-09,-0.2952000000000001,5.907352675169645e-10,-0.2952000000000001,5.453011416078759e-10,-0.2952000000000001,5.409341059185309e-10,-0.2952000000000001,5.403531380373311e-10
-0.2946000000000001,1.056103604509018e-09,-0.2946000000000001,5.916795415462731e-10,-0.2946000000000001,5.453800784510575e-10,-0.2946000000000001,5.409336506820683e-10,-0.2946000000000001,5.403454967856923e-10
-0.2940000000000001,1.065920116787199e-09,-0.2940000000000001,5.92642136723071e-10,-0.2940000000000001,5.454607041211625e-10,-0.2940000000000001,5.409333675473668e-10,-0.2940000000000001,5.403378903556936e-10
-0.2934000000000001,1.075919048981573e-09,-0.2934000000000001,5.936234072588015e-10,-0.2934000000000001,5.455430507501544e-10,-0.2934000000000001,5.409332593231187e-10,-0.2934000000000001,5.403303191789418e-10
-0.2928000000000001,1.086103476905956e-09,-0.2928000000000001,5.946237145422582e-10,-0.2928000000000001,5.456271505698056e-10,-0.2928000000000001,5.409333289467447e-10,-0.2928000000000001,5.403227833080631e-10
-0.2922000000000001,1.096476512971328e-09,-0.2922000000000001,5.956434269780923e-10,-0.2922000000000001,5.457130367455781e-10,-0.2922000000000001,5.40933579349696e-10,-0.2922000000000001,5.403152828796076e-10
-0.2916000000000001,1.107041305692492e-09,-0.2916000000000001,5.966829195445725e-10,-0.2916000000000001,5.45800743242787e-10,-0.2916000000000001,5.409340135506471e-10,-0.2916000000000001,5.403078183831087e-10
-0.2910000000000001,1.117801040552659e-09,-0.2910000000000001,5.977425756737107e-10,-0.2910000000000001,5.458903043308762e-10,-0.2910000000000001,5.409346345878459e-10,-0.2910000000000001,5.403003899095403e-10
